ÜLKE,TEMSİLCİLİK
ABD,Boston
ABD,Houston
ABD,Los Angeles
ABD,New York
ABD,Şikago
ABD,Washington
AFGANİSTAN,Kabil
ALMANYA,Berlin EA
ALMANYA,Berlin EM
ALMANYA,Düsseldorf
ALMANYA,Essen
ALMANYA,Frankfurt
ALMANYA,Hamburg
ALMANYA,Hannover
ALMANYA,Karlsruhe
ALMANYA,Köln
ALMANYA,Mainz
ALMANYA,Münih
ALMANYA,Münster
ALMANYA,Nürnberg
ALMANYA,Stuttgart
ARNAVUTLUK,Tiran
AVUSTRALYA,Sidney
AVUSTURYA,Viyana
AZERBAYCAN,Bakü
BELARUS,Minsk
BELÇİKA,Brüksel
BOSNA-HERSEK,Saraybosna
BULGARİSTAN,Sofya
ÇİN,Pekin
DANİMARKA,Kopenhag
FRANSA,Bordo
FRANSA,Lyon
FRANSA,Marsilya
FRANSA,Paris EA
FRANSA,Paris EM
FRANSA,Strasbourg
GÜNEY AFRİKA,Pretorya
GÜNEY KORE,Seul
GÜRCİSTAN,Tiflis
HOLLANDA,Amsterdam
HOLLANDA,Lahey
İNGİLTERE,Edinburg
İNGİLTERE,Londra
İRAN,Tahran
İSPANYA,Madrid
İSVEÇ,Stockholm
İSVİÇRE,Bern
İTALYA,Milano
KANADA,Toronto
KARADAĞ,Podgoritsa
KATAR,Doha
KAZAKİSTAN,Almatı
KAZAKİSTAN,Astana
KIRGIZİSTAN,Bişkek
KKTC,Lefkoşa
KOSOVA,Priştine
KUVEYT,Kuveyt
KUZEY MAKEDONYA,Üsküp
LÜBNAN,Beyrut
MACARİSTAN,Budapeşte
MALEZYA,Kuala Lumpur
MALİ,Bamako
MISIR,Kahire
MOLDOVA,Kişinev
MORİTANTA,Nuakşot
ÖZBEKİSTAN,Taşkent
PAKİSTAN,İslamabad
POLONYA,Varşova
ROMANYA,Bükreş
RUSYA,Moskova
SIRBİSTAN,Belgrad
SUDAN,Hartum
SUUDİ ARABİSTAN,Cidde
SUUDİ ARABİSTAN,Riyad
TUNUS,Tunus
TÜRKMENİSTAN,Aşkabat
UKRAYNA,Kiev
ÜRDÜN,Amman
